ÜFE
0.85
0.53
0.48
0.65
0.46
-0.02
0.13
0.32
0.69
1.12
0.59
0.42
1.06
0.69
0.65
0.76
0.63
0.22
0.06
0.15
0.53
1.38
0.46
0.31
0.72
0.49
0.69
0.85
0.52
0.17
0.12
0.15
0.59
1.26
0.43
0.07
1.21
0.68
0.77
0.92
0.65
0.11
0.26
0.33
0.72
1.32
0.83
0.79
1.44
0.62
0.68
0.95
0.59
0.14
0.18
0.21
0.57
1.31
0.75
0.55
1.32
0.64
0.82
1.23
0.99
0.82
0.83
1.15
2.13
1.99
0.88
0.45
1.16
0.76
0.94
1.61
1.48
0.91
1.25
1.26
1.49
1.9
0.82
0.59
1.1
0.69
0.82
0.93
0.76
0.5
0.61
0.68
1.07
1.62
0.99
0.9
1.35
0.78
0.94
1.51
1.27
1.21
1.17
0.99
1.11
1.94
1.77
3.37
6.45
4.22
4.13
4.23
3.97
3.77
3.4
2.57
2.98
3.39
3.14
2.69
2.65
3.01
2.88
2.65
2.41
2.81
3.76
5.54
5.14
4.3
4.07
3.26
5.41
3.8
3.43
3.25
3.04
2.52
2.77
2.55
2.22
