"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.05.2013","83,587","85,018","85,981","79,188","","-1,68%"
"01.06.2013","76,446","84,077","86,392","72,813","","-8,54%"
"01.07.2013","82,335","76,478","82,894","75,959","","7,70%"
"01.08.2013","91,305","82,326","95,265","78,841","","10,89%"
"01.09.2013","86,156","90,925","93,899","83,134","","-5,64%"
"01.10.2013","84,840","86,159","86,834","79,840","","-1,53%"
"01.11.2013","81,265","84,839","86,414","78,879","","-4,21%"
"01.12.2013","83,130","81,146","84,759","79,056","","2,29%"
"01.01.2014","90,043","82,973","97,578","82,941","","8,32%"
"01.02.2014","94,143","90,217","96,109","93,410","","4,55%"
"01.03.2014","88,322","94,147","99,799","88,122","","-6,18%"
"01.04.2014","87,727","88,322","91,018","86,914","","-0,67%"
"01.05.2014","84,258","87,727","88,800","83,754","","-3,95%"
"01.06.2014","90,343","84,244","91,185","83,369","","7,22%"
"01.07.2014","88,355","90,343","92,076","86,529","","-2,20%"
"01.08.2014","89,413","88,354","92,994","88,188","","1,20%"
"01.09.2014","88,501","89,407","89,903","86,776","","-1,02%"
"01.10.2014","83,814","88,508","91,576","82,791","","-5,30%"
"01.11.2014","82,245","83,881","86,303","81,646","","-1,87%"
"01.12.2014","88,769","82,223","94,362","81,971","","7,93%"
"01.01.2015","100,761","88,858","101,050","88,281","","13,51%"
"01.02.2015","97,824","100,730","100,947","94,476","","-2,91%"
"01.03.2015","98,896","97,851","102,145","95,763","","1,10%"
"01.04.2015","101,891","98,910","105,178","98,676","","3,03%"
"01.05.2015","101,944","101,896","104,668","99,472","","0,05%"
"01.06.2015","101,136","101,944","105,949","99,845","","-0,79%"
"01.07.2015","97,604","101,155","102,562","92,863","","-3,49%"
"01.08.2015","106,440","97,463","111,655","96,627","","9,05%"
"01.09.2015","108,484","106,422","113,828","106,395","","1,92%"
"01.10.2015","107,048","108,477","111,909","105,974","","-1,32%"
"01.11.2015","99,642","104,454","104,872","97,497","","-6,92%"
"01.12.2015","99,428","99,643","103,380","97,240","","-0,21%"
"01.01.2016","106,233","99,980","109,058","99,727","","6,84%"
"01.02.2016","118,201","106,215","118,922","106,141","","11,27%"
"01.03.2016","111,576","118,201","120,031","111,511","","-5,60%"
"01.04.2016","116,294","111,568","116,567","109,835","","4,23%"
"01.05.2016","115,358","116,349","123,516","114,396","","-0,80%"
"01.06.2016","122,499","115,362","130,453","114,045","","6,19%"
"01.07.2016","129,570","122,505","131,818","122,250","","5,77%"
"01.08.2016","124,558","129,555","132,704","124,299","","-3,87%"
"01.09.2016","126,989","124,547","128,874","124,034","","1,95%"
"01.10.2016","127,068","127,143","128,477","122,148","","0,06%"
"01.11.2016","129,556","127,067","139,488","126,994","","1,96%"
"01.12.2016","130,679","129,556","135,626","126,215","","0,87%"
"01.01.2017","147,012","131,358","151,651","130,952","","12,50%"
"01.02.2017","145,992","147,012","149,157","141,992","","-0,69%"
"01.03.2017","145,972","145,993","148,310","142,129","","-0,01%"
"01.04.2017","145,143","145,817","153,643","144,084","","-0,57%"
"01.05.2017","143,964","145,139","147,812","139,495","","-0,81%"
"01.06.2017","140,533","143,975","147,584","138,981","","-2,38%"
"01.07.2017","143,615","140,645","144,505","139,361","","2,19%"
