"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.08.2017","146,661","143,843","147,342","142,022","","2,12%"
"01.09.2017","146,656","146,683","149,773","145,180","","0,00%"
"01.10.2017","154,733","146,761","156,744","145,666","","5,51%"
"01.11.2017","160,609","154,652","165,544","154,502","","3,80%"
"01.12.2017","159,207","160,608","162,341","152,661","","-0,87%"
"01.01.2018","162,522","159,252","164,990","158,189","","2,08%"
"01.02.2018","161,045","162,524","164,940","159,905","","-0,91%"
"01.03.2018","167,994","161,058","173,793","159,787","","4,31%"
"01.04.2018","171,642","168,654","182,357","168,494","","2,17%"
"01.05.2018","189,298","171,632","204,992","171,068","","10,29%"
"01.06.2018","184,746","189,282","198,853","183,304","","-2,40%"
"01.07.2018","193,569","185,269","196,993","183,279","","4,78%"
"01.08.2018","252,648","193,580","273,402","192,466","","30,52%"
"01.09.2018","231,444","253,962","259,637","226,935","","-8,39%"
"01.10.2018","218,344","231,431","240,149","214,043","","-5,66%"
"01.11.2018","204,970","218,344","222,266","202,234","","-6,13%"
"01.12.2018","218,191","203,577","219,205","203,104","","6,45%"
"01.01.2019","220,086","217,899","233,691","216,346","","0,87%"
"01.02.2019","225,781","220,086","230,469","218,717","","2,59%"
"01.03.2019","232,572","225,763","246,722","221,621","","3,01%"
"01.04.2019","246,124","232,526","246,962","225,568","","5,83%"
"01.05.2019","245,123","246,123","258,418","240,846","","-0,41%"
"01.06.2019","256,955","245,807","268,826","242,926","","4,83%"
"01.07.2019","253,373","256,913","264,698","251,193","","-1,39%"
"01.08.2019","285,284","253,379","299,615","251,161","","12,59%"
"01.09.2019","267,683","287,502","287,906","266,038","","-6,17%"
"01.10.2019","277,711","267,690","286,661","265,728","","3,75%"
"01.11.2019","270,543","277,741","279,318","267,446","","-2,58%"
"01.12.2019","290,320","270,454","291,737","268,592","","7,31%"
"01.01.2020","305,612","290,727","309,727","289,722","","5,27%"
"01.02.2020","318,226","305,674","334,192","297,340","","4,13%"
"01.03.2020","335,908","319,847","343,722","299,141","","5,56%"
"01.04.2020","379,430","335,903","389,512","335,480","","12,96%"
"01.05.2020","381,189","379,412","396,334","368,592","","0,46%"
"01.06.2020","392,809","381,185","393,538","364,476","","3,05%"
"01.07.2020","442,907","392,789","444,920","387,416","","12,75%"
"01.08.2020","465,535","444,650","488,075","433,725","","5,11%"
"01.09.2020","468,680","465,453","478,233","451,303","","0,68%"
"01.10.2020","506,603","468,541","508,726","465,753","","8,09%"
"01.11.2020","447,834","504,838","539,889","440,253","","-11,60%"
"01.12.2020","454,121","447,849","474,854","441,437","","1,40%"
"01.01.2021","434,587","454,121","466,184","431,566","","-4,30%"
"01.02.2021","415,067","434,531","436,828","395,007","","-4,49%"
"01.03.2021","453,452","415,080","475,513","400,585","","9,25%"
"01.04.2021","471,483","453,452","484,989","444,252","","3,98%"
"01.05.2021","520,959","471,626","526,651","471,029","","10,49%"
"01.06.2021","494,922","520,955","535,823","488,893","","-5,00%"
"01.07.2021","493,070","495,021","495,021","493,070","","-0,37%"
"01.08.2021","485,431","492,347","498,530","466,506","","-1,55%"
"01.09.2021","501,015","485,384","503,980","478,214","","3,21%"
"01.10.2021","548,947","501,074","567,990","497,529","","9,57%"
"01.11.2021","770,057","548,996","789,742","545,873","","40,28%"
"01.12.2021","779,684","770,120","1.062,746","594,904","","1,25%"
"01.01.2022","769,081","793,409","817,753","750,090","","-1,36%"
"01.02.2022","848,680","769,074","920,632","768,290","","10,35%"
"01.03.2022","913,772","848,361","968,501","843,385","","7,67%"
"01.04.2022","905,365","913,711","940,873","891,710","","-0,92%"
"01.05.2022","968,452","905,928","981,486","884,895","","6,97%"
"01.06.2022","970,139","968,056","1.042,683","950,208","","0,17%"
"01.07.2022","1.015,744","970,245","1.019,621","946,272","","4,70%"
"01.08.2022","999,730","1.017,160","1.041,816","997,750","","-1,58%"
"01.09.2022","987,688","999,648","1.017,018","960,081","","-1,20%"
"01.10.2022","977,261","987,713","1.035,019","967,567","","-1,06%"
"01.11.2022","1.062,592","977,369","1.068,747","967,874","","8,73%"
"01.12.2022","1.096,929","1.062,582","1.104,501","1.057,689","","3,23%"
"01.01.2023","1.165,671","1.096,342","1.178,670","1.094,884","","6,27%"
"01.02.2023","1.108,610","1.165,837","1.185,682","1.094,085","","-4,90%"
"01.03.2023","1.214,353","1.108,557","1.232,374","1.100,926","","9,54%"
"01.04.2023","1.242,820","1.215,067","1.273,161","1.203,385","","2,34%"
"01.05.2023","1.312,416","1.242,845","1.321,519","1.236,938","","5,60%"
"01.06.2023","1.575,044","1.312,416","1.623,128","1.305,968","","20,01%"
"01.07.2023","1.701,080","1.607,639","1.721,298","1.584,564","","8,00%"
"01.08.2023","1.665,030","1.700,753","1.725,471","1.556,781","","-2,12%"
"01.09.2023","1.629,160","1.665,583","1.691,958","1.621,012","","-2,15%"
"01.10.2023","1.805,389","1.630,008","1.826,374","1.595,975","","10,82%"
"01.11.2023","1.894,998","1.805,505","1.907,229","1.772,368","","4,96%"
"01.12.2023","1.954,960","1.898,678","1.992,603","1.842,389","","3,16%"
"01.01.2024","1.991,522","1.954,960","2.005,885","1.939,372","","1,87%"
"01.02.2024","2.056,975","1.991,696","2.061,823","1.936,856","","3,29%"
"01.03.2024","2.340,660","2.057,006","2.343,059","2.053,744","","13,79%"
"01.04.2024","2.386,959","2.341,968","2.534,119","2.299,891","","1,98%"
"01.05.2024","2.408,353","2.388,645","2.536,530","2.368,790","","0,90%"
"01.06.2024","2.449,992","2.409,751","2.502,806","2.379,625","","1,73%"
"01.07.2024","2.609,338","2.448,976","2.642,423","2.428,557","","6,50%"
"01.08.2024","2.743,604","2.609,537","2.786,052","2.538,690","","5,15%"
"01.09.2024","2.898,606","2.742,252","2.949,112","2.705,486","","5,65%"
"01.10.2024","3.029,244","2.898,911","3.075,729","2.867,386","","4,51%"
"01.11.2024","2.960,506","3.028,985","3.048,516","2.803,039","","-2,27%"
"01.12.2024","2.983,704","2.960,894","3.056,281","2.910,468","","0,78%"
"01.01.2025","3.219,076","2.986,238","3.248,300","2.969,522","","7,89%"
"01.02.2025","3.440,401","3.240,904","3.463,007","3.200,063","","6,88%"
