,USD/TL
2006-02-01,1.326535
2006-03-01,1.3351391304347826
2006-04-01,1.337345
2006-05-01,1.4206590909090908
2006-06-01,1.6005363636363634
2006-07-01,1.5582666666666665
2006-08-01,1.4692454545454545
2006-09-01,1.479252380952381
2006-10-01,1.4833736842105263
2006-11-01,1.4580227272727273
2006-12-01,1.4332714285714285
2007-01-01,1.42666
2007-02-01,1.39694
2007-03-01,1.4096318181818182
2007-04-01,1.361815
2007-05-01,1.338282608695652
2007-06-01,1.321547619047619
2007-07-01,1.2821318181818182
2007-08-01,1.3145954545454546
2007-09-01,1.267385
2007-10-01,1.2023666666666668
2007-11-01,1.1904636363636365
2007-12-01,1.1786263157894736
2008-01-01,1.1760863636363637
2008-02-01,1.1939047619047618
2008-03-01,1.2383333333333333
2008-04-01,1.3029714285714287
2008-05-01,1.2530095238095238
2008-06-01,1.2337238095238097
2008-07-01,1.2157869565217392
2008-08-01,1.1783285714285714
2008-09-01,1.2355761904761904
2008-10-01,1.4803650000000002
2008-11-01,1.595505
2008-12-01,1.5462263157894736
2009-01-01,1.5967285714285715
2009-02-01,1.660335
2009-03-01,1.7127636363636363
2009-04-01,1.6118952380952383
2009-05-01,1.5592526315789472
2009-06-01,1.5472181818181818
2009-07-01,1.520991304347826
2009-08-01,1.4863523809523809
2009-09-01,1.492395
2009-10-01,1.4691761904761904
2009-11-01,1.4871736842105263
2009-12-01,1.5067434782608695
2010-01-01,1.4734
2010-02-01,1.51283
2010-03-01,1.5356782608695652
2010-04-01,1.4950476190476192
2010-05-01,1.54221
2010-06-01,1.5778636363636365
2010-07-01,1.5437318181818183
2010-08-01,1.5088761904761905
2010-09-01,1.496105
2010-10-01,1.4253
2010-11-01,1.4364222222222223
2010-12-01,1.5204434782608696
2011-01-01,1.5613095238095238
2011-02-01,1.59047
2011-03-01,1.5822652173913043
2011-04-01,1.5229380952380953
2011-05-01,1.571704761904762
2011-06-01,1.6017000000000001
2011-07-01,1.6546571428571428
2011-08-01,1.752647619047619
2011-09-01,1.7951428571428572
2011-10-01,1.8358952380952382
2011-11-01,1.8124631578947368
2011-12-01,1.8678227272727275
2012-01-01,1.8478136363636362
2012-02-01,1.7595333333333334
2012-03-01,1.7878818181818181
2012-04-01,1.78842
2012-05-01,1.8056272727272726
2012-06-01,1.8248333333333333
2012-07-01,1.813590909090909
2012-08-01,1.7944400000000003
2012-09-01,1.804275
2012-10-01,1.8027799999999998
2012-11-01,1.79405
2012-12-01,1.7876761904761906
2013-01-01,1.7723681818181818
2013-02-01,1.7760349999999998
2013-03-01,1.8104571428571428
2013-04-01,1.7996904761904762
2013-05-01,1.82605
2013-06-01,1.897915
2013-07-01,1.9339652173913044
2013-08-01,1.958221052631579
2013-09-01,2.020785714285714
2013-10-01,1.9938833333333332
2013-11-01,2.0254
2013-12-01,2.0615318181818183
2014-01-01,2.220845454545455
2014-02-01,2.216745
2014-03-01,2.2217857142857143
2014-04-01,2.131295238095238
2014-05-01,2.0945650000000002
2014-06-01,2.119538095238095
2014-07-01,2.12249
2014-08-01,2.1621619047619047
2014-09-01,2.2075590909090907
2014-10-01,2.262385
2014-11-01,2.2376
2014-12-01,2.291782608695652
2015-01-01,2.332538095238095
2015-02-01,2.45964
2015-03-01,2.5885000000000002
2015-04-01,2.6529285714285713
2015-05-01,2.6509105263157893
2015-06-01,2.706018181818182
2015-07-01,2.6994545454545453
2015-08-01,2.8506809523809524
2015-09-01,3.00812
2015-10-01,2.9348571428571426
2015-11-01,2.8764714285714286
2015-12-01,2.922478260869565
2016-01-01,3.012365
2016-02-01,2.945957142857143
2016-03-01,2.8969434782608694
2016-04-01,2.839847619047619
2016-05-01,2.931857142857143
2016-06-01,2.9222363636363635
2016-07-01,2.962877777777778
2016-08-01,2.9682
2016-09-01,2.965422222222222
2016-10-01,3.0734904761904764
2016-11-01,3.273322727272727
2016-12-01,3.4952227272727274
2017-01-01,3.7416136363636365
2017-02-01,3.678985
2017-03-01,3.6725478260869564
2017-04-01,3.6604
2017-05-01,3.5702714285714285
2017-06-01,3.52534
2017-07-01,3.5662809523809527
2017-08-01,3.5188
2017-09-01,3.4742947368421055
2017-10-01,3.6688727272727273
2017-11-01,3.886036363636364
2017-12-01,3.85462380952381
2018-01-01,3.779122727272727
2018-02-01,3.7848300000000004
2018-03-01,3.887854545454545
2018-04-01,4.061345
2018-05-01,4.422081818181818
2018-06-01,4.63655
2018-07-01,4.756554545454545
2018-08-01,5.740522222222221
2018-09-01,6.37834
2018-10-01,5.869927272727272
2018-11-01,5.383172727272727
2018-12-01,5.315690476190476
2019-01-01,5.379072727272727
2019-02-01,5.27153
2019-03-01,5.451742857142857
2019-04-01,5.746104761904762
2019-05-01,6.060359090909091
2019-06-01,5.8224
2019-07-01,5.682395454545454
2019-08-01,5.634905555555556
2019-09-01,5.723090476190476
2019-10-01,5.7949590909090904
2019-11-01,5.741547619047619
2019-12-01,5.84815
2020-01-01,5.928827272727273
2020-02-01,6.05537
2020-03-01,6.325804545454545
2020-04-01,6.831252380952381
2020-05-01,6.964488235294118
2020-06-01,6.821090909090909
2020-07-01,6.86345238095238
2020-08-01,7.26525
2020-09-01,7.521322727272727
2020-10-01,7.888071428571428
2020-11-01,8.017761904761905
2020-12-01,7.7349695652173915
2021-01-01,7.407285
2021-02-01,7.085125000000001
2021-03-01,7.641969565217392
2021-04-01,8.169719047619047
2021-05-01,8.357272222222223
2021-06-01,8.612154545454546
2021-07-01,8.628464705882353
2021-08-01,8.490961904761905
2021-09-01,8.527204545454545
2021-10-01,9.1564
2021-11-01,10.542213636363636
2021-12-01,13.552860869565217
2022-01-01,13.543614285714288
2022-02-01,13.645665
2022-03-01,14.591843478260868
2022-04-01,14.71002380952381
2022-05-01,15.652055555555556
2022-06-01,16.995272727272727
2022-07-01,17.41873888888889
2022-08-01,18.027377272727275
2022-09-01,18.314400000000003
2022-10-01,18.598066666666664
2022-11-01,18.624381818181817
2022-12-01,18.670545454545454
2023-01-01,18.791372727272726
2023-02-01,18.857210000000002
2023-03-01,19.003478260869564
2023-04-01,19.337031578947368
2023-05-01,19.719514285714286
2023-06-01,23.106042105263157
2023-07-01,26.470338095238098
2023-08-01,26.999127272727275
2023-09-01,26.915117647058825
