,Döviz Kuru,Para Arzı,Petrol,Kredi Hacmi,TÜFE
2006-03-01,1.3351391304347826,2.45937589,62.06478260869565,1.431534505,124.18
2006-04-01,1.337345,2.508387805,70.26,1.5043659150000002,125.84
2006-05-01,1.4206590909090908,2.636932835,69.77695652173912,1.59619521,128.2
2006-06-01,1.6005363636363634,2.77166749,68.5559090909091,1.702637835,128.63
2006-07-01,1.5582666666666665,2.751528915,73.67428571428572,1.7361029,129.72
2006-08-01,1.4692454545454545,2.73324478,73.2304347826087,1.737139495,129.15
2006-09-01,1.479252380952381,2.7768118800000003,61.95857142857143,1.77346514,130.81
2006-10-01,1.4833736842105263,2.8173443,57.808181818181815,1.81811785,132.47
2006-11-01,1.4580227272727273,2.87050637,58.76136363636363,1.83864927,134.18
2006-12-01,1.4332714285714285,2.9399695,62.47210526315789,1.883113295,134.49
2007-01-01,1.42666,2.9918999,53.68142857142857,1.92775336,135.84
2007-02-01,1.39694,2.995805065,57.55578947368421,1.932998955,136.42
2007-03-01,1.4096318181818182,3.0282171150000003,62.05045454545455,1.96468365,137.67
2007-04-01,1.361815,3.0857747900000003,67.4857894736842,2.01550381,139.33
2007-05-01,1.338282608695652,3.133363265,67.21227272727273,2.0457815100000003,140.03
2007-06-01,1.321547619047619,3.198912865,71.04571428571428,2.10266432,139.69
2007-07-01,1.2821318181818182,3.2410540365,76.92999999999999,2.1596956900000004,138.67
2007-08-01,1.3145954545454546,3.2934992815,70.76086956521739,2.20715175,138.7
2007-09-01,1.267385,3.312897805,77.17315789473685,2.25272628,140.13
2007-10-01,1.2023666666666668,3.307676885,82.34,2.292821285,142.67
2007-11-01,1.1904636363636365,3.339030035,92.41428571428573,2.35453038,145.45
2007-12-01,1.1786263157894736,3.402530045,90.92684210526316,2.408316285,145.77
2008-01-01,1.1760863636363637,3.46461554,92.17809523809524,2.44119947,146.94
2008-02-01,1.1939047619047618,3.498951465,94.9865,2.50846519,148.84
2008-03-01,1.2383333333333333,3.600147205,103.6355,2.608576625,150.27
2008-04-01,1.3029714285714287,3.73880221,109.07136363636364,2.678921665,152.79
2008-05-01,1.2530095238095238,3.753840088000001,122.79714285714284,2.741265985,155.07
2008-06-01,1.2337238095238097,3.752382153,132.32238095238094,2.82652787,154.51
2008-07-01,1.2157869565217392,3.814757835,132.71818181818182,2.88110543,155.4
2008-08-01,1.1783285714285714,3.8290363025,113.24333333333334,2.919554585,155.02
2008-09-01,1.2355761904761904,3.9110720625,97.23476190476192,3.0131127600000003,155.72
2008-10-01,1.4803650000000002,4.06814422,71.58217391304348,3.07887694,159.77
2008-11-01,1.595505,4.188136545000001,52.45263157894737,3.06034474,161.1
2008-12-01,1.5462263157894736,4.291137905000001,39.94681818181818,3.028676805,160.44
2009-01-01,1.5967285714285715,4.348613885000001,43.4395,3.005085265,160.9
2009-02-01,1.660335,4.3994607750000005,43.32473684210526,2.98490603,160.35
2009-03-01,1.7127636363636363,4.4522374000000005,46.540454545454544,2.97735534,162.12
2009-04-01,1.6118952380952383,4.4587485650000005,50.18190476190476,2.966945485,162.15
2009-05-01,1.5592526315789472,4.46050353,57.3025,2.988303985,163.19
2009-06-01,1.5472181818181818,4.496592395,68.60954545454545,3.03935628,163.37
2009-07-01,1.520991304347826,4.5302901,64.43545454545455,3.060020785,163.78
2009-08-01,1.4863523809523809,4.555921830000001,72.50857142857143,3.06984193,163.29
2009-09-01,1.492395,4.62989938,67.64619047619047,3.099055525,163.93
2009-10-01,1.4691761904761904,4.695020235,72.76954545454545,3.16786478,167.88
2009-11-01,1.4871736842105263,4.7686785,76.662,3.257015385,170.01
2009-12-01,1.5067434782608695,4.883572615,74.45636363636363,3.323917735,170.91
2010-01-01,1.4734,4.9286732215,76.16736842105263,3.382270875,174.07
2010-02-01,1.51283,4.9625899115,73.75210526315789,3.4659253750000003,176.59
2010-03-01,1.5356782608695652,5.034068435,78.82739130434783,3.566241345,177.62
2010-04-01,1.4950476190476192,5.066134720000001,84.81761904761905,3.6744133,178.68
2010-05-01,1.54221,5.111197695,75.94550000000001,3.806416955,178.04
2010-06-01,1.5778636363636365,5.227741235000001,74.7609090909091,3.93424403,177.04
2010-07-01,1.5437318181818183,5.31569642,75.58,4.0624210000000005,176.19
2010-08-01,1.5088761904761905,5.358429705000001,77.03954545454545,4.170528675,176.9
2010-09-01,1.496105,5.437876955,77.8404761904762,4.23861096,179.07
2010-10-01,1.4253,5.4944271350000005,82.6647619047619,4.33950597,182.35
2010-11-01,1.4364222222222223,5.54817821,85.2747619047619,4.48074846,182.4
2010-12-01,1.5204434782608696,5.735320225000001,91.44681818181816,4.695134465,181.85
2011-01-01,1.5613095238095238,5.860931655,96.5235,4.864982915,182.6
2011-02-01,1.59047,5.934929175000001,103.71631578947368,4.959596534999999,183.93
2011-03-01,1.5822652173913043,6.07851031,114.64347826086956,5.08132663,184.7
2011-04-01,1.5229380952380953,6.13436896,123.25888888888888,5.23268546,186.3
2011-05-01,1.571704761904762,6.210343845000001,114.98904761904762,5.419393645,190.81
2011-06-01,1.6017000000000001,6.351553110000001,113.8331818181818,5.588610075,188.08
2011-07-01,1.6546571428571428,6.43855117,116.9735,5.750620254999999,187.31
2011-08-01,1.752647619047619,6.511895525000001,110.21954545454544,5.939198045,188.67
2011-09-01,1.7951428571428572,6.554934945000001,112.83380952380952,6.104051265,190.09
2011-10-01,1.8358952380952382,6.523337305,109.55,6.164561604999999,196.31
2011-11-01,1.8124631578947368,6.52707551,110.76809523809524,6.21123573,199.7
2011-12-01,1.8678227272727275,6.60340238,107.8705,6.323500335,200.85
2012-01-01,1.8478136363636362,6.5966551,110.686,6.376542895,201.98
2012-02-01,1.7595333333333334,6.54373333,119.327,6.375008735,203.12
2012-03-01,1.7878818181818181,6.5686006400000005,125.44545454545457,6.492818635000001,203.96
2012-04-01,1.78842,6.610131675,119.42166666666668,6.641907915,207.05
2012-05-01,1.8056272727272726,6.676661395,110.3395238095238,6.761000085,206.61
2012-06-01,1.8248333333333333,6.771139980000001,95.15571428571428,6.92070466,204.76
2012-07-01,1.813590909090909,6.857999425000001,102.6185714285714,6.99005144,204.29
2012-08-01,1.7944400000000003,6.91674156,113.35608695652174,7.058562915,205.43
2012-09-01,1.804275,6.992870805000001,112.8636842105263,7.176545695,207.55
2012-10-01,1.8027799999999998,7.11644986,111.7108695652174,7.227198435,211.62
2012-11-01,1.79405,7.143841790000001,109.05857142857144,7.324284755,212.42
