Tarih,USD/TL
2006-02-28,1.326535
2006-03-31,1.3351391304347826
2006-04-30,1.337345
2006-05-31,1.4206590909090908
2006-06-30,1.6005363636363634
2006-07-31,1.5582666666666665
2006-08-31,1.4692454545454545
2006-09-30,1.479252380952381
2006-10-31,1.4833736842105263
2006-11-30,1.4580227272727273
2006-12-31,1.4332714285714285
2007-01-31,1.42666
2007-02-28,1.39694
2007-03-31,1.4096318181818182
2007-04-30,1.361815
2007-05-31,1.338282608695652
2007-06-30,1.321547619047619
2007-07-31,1.2821318181818182
2007-08-31,1.3145954545454546
2007-09-30,1.267385
2007-10-31,1.2023666666666668
2007-11-30,1.1904636363636365
2007-12-31,1.1786263157894736
2008-01-31,1.1760863636363637
2008-02-29,1.1939047619047618
2008-03-31,1.2383333333333333
2008-04-30,1.3029714285714287
2008-05-31,1.2530095238095238
2008-06-30,1.2337238095238097
2008-07-31,1.2157869565217392
2008-08-31,1.1783285714285714
2008-09-30,1.2355761904761904
2008-10-31,1.4803650000000002
2008-11-30,1.595505
2008-12-31,1.5462263157894736
2009-01-31,1.5967285714285715
2009-02-28,1.660335
2009-03-31,1.7127636363636363
2009-04-30,1.6118952380952383
2009-05-31,1.5592526315789472
2009-06-30,1.5472181818181818
2009-07-31,1.520991304347826
2009-08-31,1.4863523809523809
2009-09-30,1.492395
2009-10-31,1.4691761904761904
2009-11-30,1.4871736842105263
2009-12-31,1.5067434782608695
2010-01-31,1.4734
2010-02-28,1.51283
2010-03-31,1.5356782608695652
2010-04-30,1.4950476190476192
2010-05-31,1.54221
2010-06-30,1.5778636363636365
2010-07-31,1.5437318181818183
2010-08-31,1.5088761904761905
2010-09-30,1.496105
2010-10-31,1.4253
2010-11-30,1.4364222222222223
2010-12-31,1.5204434782608696
2011-01-31,1.5613095238095238
2011-02-28,1.59047
2011-03-31,1.5822652173913043
2011-04-30,1.5229380952380953
2011-05-31,1.571704761904762
2011-06-30,1.6017000000000001
2011-07-31,1.6546571428571428
2011-08-31,1.752647619047619
2011-09-30,1.7951428571428572
2011-10-31,1.8358952380952382
2011-11-30,1.8124631578947368
2011-12-31,1.8678227272727275
2012-01-31,1.8478136363636362
2012-02-29,1.7595333333333334
2012-03-31,1.7878818181818181
2012-04-30,1.78842
2012-05-31,1.8056272727272726
2012-06-30,1.8248333333333333
2012-07-31,1.813590909090909
2012-08-31,1.7944400000000003
2012-09-30,1.804275
2012-10-31,1.8027799999999998
2012-11-30,1.79405
2012-12-31,1.7876761904761906
2013-01-31,1.7723681818181818
2013-02-28,1.7760349999999998
2013-03-31,1.8104571428571428
2013-04-30,1.7996904761904762
2013-05-31,1.82605
2013-06-30,1.897915
2013-07-31,1.9339652173913044
2013-08-31,1.958221052631579
2013-09-30,2.020785714285714
2013-10-31,1.9938833333333332
2013-11-30,2.0254
2013-12-31,2.0615318181818183
2014-01-31,2.220845454545455
2014-02-28,2.216745
2014-03-31,2.2217857142857143
2014-04-30,2.131295238095238
2014-05-31,2.0945650000000002
2014-06-30,2.119538095238095
2014-07-31,2.12249
2014-08-31,2.1621619047619047
2014-09-30,2.2075590909090907
2014-10-31,2.262385
2014-11-30,2.2376
2014-12-31,2.291782608695652
2015-01-31,2.332538095238095
2015-02-28,2.45964
2015-03-31,2.5885000000000002
2015-04-30,2.6529285714285713
2015-05-31,2.6509105263157893
2015-06-30,2.706018181818182
2015-07-31,2.6994545454545453
2015-08-31,2.8506809523809524
2015-09-30,3.00812
2015-10-31,2.9348571428571426
2015-11-30,2.8764714285714286
2015-12-31,2.922478260869565
2016-01-31,3.012365
2016-02-29,2.945957142857143
2016-03-31,2.8969434782608694
2016-04-30,2.839847619047619
2016-05-31,2.931857142857143
2016-06-30,2.9222363636363635
2016-07-31,2.962877777777778
2016-08-31,2.9682
2016-09-30,2.965422222222222
2016-10-31,3.0734904761904764
2016-11-30,3.273322727272727
2016-12-31,3.4952227272727274
2017-01-31,3.7416136363636365
2017-02-28,3.678985
2017-03-31,3.6725478260869564
2017-04-30,3.6604
2017-05-31,3.5702714285714285
2017-06-30,3.52534
2017-07-31,3.5662809523809527
2017-08-31,3.5188
2017-09-30,3.4742947368421055
2017-10-31,3.6688727272727273
2017-11-30,3.886036363636364
2017-12-31,3.85462380952381
2018-01-31,3.779122727272727
2018-02-28,3.7848300000000004
2018-03-31,3.887854545454545
2018-04-30,4.061345
2018-05-31,4.422081818181818
2018-06-30,4.63655
2018-07-31,4.756554545454545
2018-08-31,5.740522222222221
2018-09-30,6.37834
2018-10-31,5.869927272727272
2018-11-30,5.383172727272727
2018-12-31,5.315690476190476
2019-01-31,5.379072727272727
2019-02-28,5.27153
2019-03-31,5.451742857142857
2019-04-30,5.746104761904762
2019-05-31,6.060359090909091
2019-06-30,5.8224
2019-07-31,5.682395454545454
2019-08-31,5.634905555555556
2019-09-30,5.723090476190476
2019-10-31,5.7949590909090904
2019-11-30,5.741547619047619
2019-12-31,5.84815
2020-01-31,5.928827272727273
2020-02-29,6.05537
2020-03-31,6.325804545454545
2020-04-30,6.831252380952381
2020-05-31,6.964488235294118
2020-06-30,6.821090909090909
2020-07-31,6.86345238095238
2020-08-31,7.26525
2020-09-30,7.521322727272727
2020-10-31,7.888071428571428
2020-11-30,8.017761904761905
2020-12-31,7.7349695652173915
2021-01-31,7.407285
2021-02-28,7.085125000000001
2021-03-31,7.641969565217392
2021-04-30,8.169719047619047
2021-05-31,8.357272222222223
2021-06-30,8.612154545454546
2021-07-31,8.628464705882353
2021-08-31,8.490961904761905
2021-09-30,8.527204545454545
2021-10-31,9.1564
2021-11-30,10.542213636363636
2021-12-31,13.552860869565217
2022-01-31,13.543614285714288
2022-02-28,13.645665
2022-03-31,14.591843478260868
2022-04-30,14.71002380952381
2022-05-31,15.652055555555556
2022-06-30,16.995272727272727
2022-07-31,17.41873888888889
2022-08-31,18.027377272727275
2022-09-30,18.314400000000003
2022-10-31,18.598066666666664
2022-11-30,18.624381818181817
2022-12-31,18.670545454545454
2023-01-31,18.791372727272726
2023-02-28,18.857210000000002
2023-03-31,19.003478260869564
2023-04-30,19.337031578947368
2023-05-31,19.719514285714286
2023-06-30,23.106042105263157
2023-07-31,26.470338095238098
2023-08-31,26.999127272727275
2023-09-30,26.98944761904762
2023-10-31,27.846113636363636
2023-11-30,28.63708181818182
2023-12-31,28.979200000000002
