,Döviz Kuru Tahmin,Petrol Tahmin,Kredi Tahmin,Para Arzı Tahmin
2023-09-01,27.04,95.0,100.32,120.8
2023-10-01,27.45463838035745,97.92269446117318,103.40707469680692,123.60612255981253
2023-11-01,28.41513999638279,97.70348393205282,107.03719559315968,128.20334396445188
2023-12-01,30.455734130897824,95.27876887664655,109.99352328696477,132.6867956662526
2024-01-01,30.449994112120077,100.31224730929179,111.81784563853304,136.771534742761
2024-02-01,30.5085891676418,105.56414969877547,114.14213704356922,140.51176186720028
2024-03-01,31.235789350926524,109.30699146664047,118.01193114509537,144.33544058186774
2024-04-01,31.440336279417735,108.98693075332841,120.86603500012902,148.3869490207001
2024-05-01,32.18547956641186,108.58571927518815,124.21040050790737,152.0967902116665
2024-06-01,33.876845984787636,112.19892377532545,129.40127263775358,156.8625142693345
2024-07-01,34.91822941057562,112.88237398747124,131.36659680095215,161.7545843411916
2024-08-01,35.44400150224909,111.09051078593225,132.5533473417363,167.17030510209443
