,NN_3,NN_6,NN_11,NN_10,NN_12,Ortalama,Max,Min
2006-01-31,,,,,,,,
2006-02-28,,,,,,,,
2006-03-31,,,,,,,,
2006-04-30,,,,,,,,
2006-05-31,,,,,,,,
2006-06-30,,,,,,,,
2006-07-31,,,,,,,,
2006-08-31,,,,,,,,
2006-09-30,,,,,,,,
2006-10-31,,,,,,,,
2006-11-30,,,,,,,,
2006-12-31,,,,,,,,
2007-01-31,9.929594561786859,9.929594561786859,9.929594561786859,9.929594561786859,9.929594561786859,9.929594561786859,9.929594561786859,9.929594561786859
2007-02-28,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107,10.158268733850107
2007-03-31,10.86326300531486,10.86326300531486,10.86326300531486,10.86326300531486,10.86326300531486,10.863263005314838,10.86326300531486,10.86326300531486
2007-04-30,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511,10.719961856325511
2007-05-31,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438,9.227769110764438
2007-06-30,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248,8.59830521651248
2007-07-31,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884,6.899475794017884
2007-08-31,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727,7.394502516453727
2007-09-30,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968,7.124837550645968
2007-10-31,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146,7.699856571299146
2007-11-30,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815,8.399165300342815
2007-12-31,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931,8.387240687039931
2008-01-31,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782,8.171378091872782
2008-02-29,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315,9.104236915408315
2008-03-31,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659,9.152320767051659
2008-04-30,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161,9.660518194215161
2008-05-31,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594,10.740555595229594
2008-06-30,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692,10.609206099219692
