"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"25.02.2025","3.438,950","3.458,673","3.460,588","3.427,758","","-0,60%"
"24.02.2025","3.459,753","3.442,040","3.463,007","3.424,308","","0,60%"
"21.02.2025","3.439,139","3.442,311","3.450,329","3.414,562","","-0,08%"
"20.02.2025","3.441,771","3.427,443","3.450,701","3.414,357","","0,43%"
"19.02.2025","3.427,080","3.424,181","3.439,366","3.405,913","","0,08%"
"18.02.2025","3.424,193","3.379,001","3.426,643","3.371,378","","1,35%"
"17.02.2025","3.378,656","3.353,394","3.385,531","3.353,176","","0,62%"
"14.02.2025","3.357,923","3.411,779","3.423,511","3.352,329","","-1,58%"
"13.02.2025","3.411,707","3.375,149","3.413,195","3.369,975","","1,25%"
"12.02.2025","3.369,489","3.358,943","3.376,653","3.325,534","","0,33%"
"11.02.2025","3.358,271","3.378,066","3.395,618","3.340,687","","-0,67%"
"10.02.2025","3.380,910","3.319,175","3.381,162","3.315,952","","2,15%"
"07.02.2025","3.309,772","3.306,851","3.338,039","3.298,729","","0,09%"
"06.02.2025","3.306,915","3.313,641","3.316,929","3.270,773","","-0,20%"
"05.02.2025","3.313,654","3.286,132","3.327,325","3.285,465","","0,82%"
"04.02.2025","3.286,820","3.255,061","3.287,683","3.249,149","","0,98%"
"03.02.2025","3.255,061","3.224,469","3.274,933","3.200,063","","1,12%"
"31.01.2025","3.219,076","3.223,923","3.248,300","3.205,964","","-0,15%"
"30.01.2025","3.223,862","3.178,557","3.230,190","3.174,932","","1,44%"
"29.01.2025","3.178,168","3.176,054","3.180,416","3.158,210","","0,06%"
"28.01.2025","3.176,213","3.152,699","3.177,693","3.144,887","","0,77%"
"27.01.2025","3.151,839","3.174,476","3.184,267","3.137,748","","-0,85%"
