Date,Brent
2007-07-31,76.39500045776367
2007-08-31,71.2586958512016
2007-09-30,77.13526314183285
2007-10-31,82.45695661461872
2007-11-30,92.06095268612816
2007-12-31,91.3939998626709
2008-01-31,92.11238098144531
2008-02-29,94.65250015258789
2008-03-31,102.79899940490722
2008-04-30,110.4418171969327
2008-05-31,124.38095092773438
2008-06-30,133.7847638811384
2008-07-31,134.0995452187278
2008-08-31,115.28571464901879
2008-09-30,100.46285683768136
2008-10-31,74.01909082586116
2008-11-30,54.98888905843099
2008-12-31,42.98047601609003
2009-01-31,45.824736745733965
2009-02-28,44.552222145928276
2009-03-31,48.008636474609375
2009-04-30,51.98555586073134
2009-05-31,58.59947345131322
2009-06-30,69.27090904929422
2009-07-31,65.90047600155785
2009-08-31,73.05714380173455
2009-09-30,68.2675006866455
2009-10-31,73.90904708135696
2009-11-30,77.6125
2009-12-31,75.20909049294211
2010-01-31,77.00842124537418
2010-02-28,74.90999924509148
2010-03-31,79.93130426821502
2010-04-30,85.75380961100261
2010-05-31,76.66473669754832
2010-06-30,75.54863565618342
2010-07-31,75.50899963378906
2010-08-31,77.1149999445135
2010-09-30,78.49095226469494
2010-10-31,83.53619021461124
2010-11-30,86.16238040015811
2010-12-31,92.18590823086825
2011-01-31,96.78631591796875
2011-02-28,103.94210494192023
2011-03-31,114.64954514936967
2011-04-30,123.05052586605674
2011-05-31,114.51428622291202
2011-06-30,113.90181801535867
2011-07-31,117.11823541977826
2011-08-31,109.91476149786087
2011-09-30,110.19449996948242
2011-10-31,109.0895004272461
2011-11-30,110.82263103284333
2011-12-31,107.72285643078033
2012-01-31,111.46499977111816
2012-02-29,119.01050071716308
2012-03-31,124.544545953924
2012-04-30,120.48650016784669
2012-05-31,110.43318245627664
2012-06-30,95.92714327857608
2012-07-31,102.86428615025112
2012-08-31,112.67826113493547
2012-09-30,112.61470525404987
2012-10-31,111.62105279219777
2012-11-30,109.46200065612793
2012-12-31,109.30277803209093
2013-01-31,112.26809583391461
2013-02-28,116.08263156288548
2013-03-31,109.52052588211863
2013-04-30,103.56681893088601
2013-05-31,103.21545514193448
2013-06-30,103.1426319323088
2013-07-31,107.49190484909784
2013-08-31,110.51190512520927
2013-09-30,111.32000054253473
2013-10-31,109.50227321277966
2013-11-30,107.72105327405427
2013-12-31,110.85400009155273
2014-01-31,107.19949951171876
2014-02-28,108.70611148410373
2014-03-31,107.85761878603981
2014-04-30,108.05190531412761
2014-05-31,109.21952420189267
2014-06-30,111.98047601609002
2014-07-31,107.98590885509144
2014-08-31,103.32047562372117
2014-09-30,98.2538088843936
2014-10-31,87.97913062054178
2014-11-30,79.91210455643504
2014-12-31,63.20363651622426
2015-01-31,49.679999923706056
2015-02-28,58.440526259572884
2015-03-31,56.93499981273305
2015-04-30,60.96523775373186
2015-05-31,65.60099925994874
2015-06-30,63.70409029180353
2015-07-31,56.62181802229448
