Tarih,USD/TL,Motorin,Enflasyon Belirsizliği,ParaArzi,Borç,Kredi,Mevduat Faizi,REDK,REDKT,İşsizlik,Politika Faizi,Beklenti,TÜFE
2014-01-31,3.732429214783295,2.881984288110173,0.82,3.375162147876609,-0.5846873808570852,2.6699300780263027,8.85,91.32,95.75,9.2,9.96,1.06,1.9780795598445478
2014-02-28,3.0334774315401436,1.6858993608167783,0.73,1.804994158625206,0.8085736406424404,1.8768501154426565,10.75,93.31,96.63,9.5,10.23,0.69,0.42819217264709053
2014-03-31,2.465777521625956,-2.2780965237934603,0.8,0.4513493162140225,0.1936912880644348,0.8222025414763473,11.65,93.75,97.25,9.5,10.27,0.65,1.1256075722691383
2014-04-30,-1.3447238026491393,-6.214384389570016,0.73,0.7967603028281145,0.47816219699425844,-0.1545563709188822,10.75,98.14,102.98,9.7,10.03,0.76,1.344970064929596
2014-05-31,-1.8597144107861951,-0.5615779419549383,0.8,-0.3623570899621287,0.09108045525625386,0.14630495236188334,10.43,99.4,105.1,9.7,9.53,0.63,0.3952240296209997
2014-06-30,-1.5858131758903715,2.7496817497974835,0.72,-0.7611344311167167,0.7329963333633671,0.7839262720008202,9.92,98.63,104.44,9.7,8.82,0.22,0.3107906514172143
2014-07-31,-0.13876572647902874,0.06532561439864804,0.8,2.7478877263647172,-0.9590192161166189,0.8525846861349168,9.06,99.05,104.53,9.9,8.25,0.06,0.45441401247572344
2014-08-31,1.0667704829067093,-0.18459321957587926,0.77,1.390823010728659,-0.04251411464444299,1.127591987423538,9.14,99.07,103.84,10.2,8.28,0.15,0.09458403585969055
2014-09-30,1.3744282363732818,-1.0103743797925224,0.63,0.24973717446965527,-0.2010973020188933,1.2491266619830546,9.24,99.95,103.43,10.1,8.72,0.53,0.13968775677897227
2014-10-31,2.154812899538916,-2.1325070627904785,0.72,2.548888745879818,0.19382719715912433,1.2698766218095705,9.4,100.26,104.09,10.4,8.26,1.38,1.8995651103635103
2014-11-30,1.1374681780920826,-2.8424434304870183,0.67,-0.7596759632839123,0.6963188839566703,1.4295765124714392,9.53,102.83,107.05,10.5,8.31,0.46,0.1811813020896169
