Ürün,Endeks_2024-10-06,Endeks_2024-10-07
"Alkolsüz içecekler (meşrubat, ayran vb.)",100,99.95515810276679
"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, kabartma maddeleri, sirke, ketçap, mayonez vb.)",100,99.72555464302337
Dana eti,100,99.19626203324074
Diğer etler ve yenilebilir sakatatlar,100,100.0
"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",100,100.0
"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",100,99.90885185863833
Dondurma,100,100.0
Ekmek,100,100.0
Kahvaltılık tahıl ürünleri,100,105.15485522698604
Kahve,100,99.79384261363113
Konserve edilmiş veya işlenmiş balık,100,100.0
"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",100,100.46371292296243
Kuru baklagiller,100,100.0
Kuru meyve ve sert kabuklu yemişler,100,99.91980569716154
Kuzu eti,100,100.49034314248497
Makarna çeşitleri,100,101.41495932502535
Margarin,100,99.67402376910017
Meyve ve sebze suları,100,100.0
Patates,100,100.0
Peynir,100,99.94470802080558
Pirinç,100,100.0
"Reçel, marmelat, bal vb. ürünler",100,100.03565117240045
Su ve maden suyu,100,100.0
Süt,100,99.90101290854761
"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",100,100.0
Tavuk eti,100,100.10334240578787
Taze balık,100,100.0
Taze meyveler,100,98.86644072155684
Taze sebzeler (patates hariç),100,100.0
Tereyağı,100,100.0
Toz kakao,100,100.0
Un ve diğer tahıllar,100,100.55649266904842
Yumurta,100,100.0
Çay ve bitki çayları,100,100.0
Çikolata ve şekerlemeler,100,100.0
"Şarküteri ürünleri (sucuk, sosis, salam vb.)",100,105.80209672366728
Şeker,100,100.0
