"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"01.01.2005","1,3355","1,3475","1,4175","1,3170","","-0,96%"
"01.02.2005","1,2830","1,3375","1,3495","1,2765","","-3,93%"
"01.03.2005","1,3525","1,2805","1,3990","1,2485","","5,42%"
"01.04.2005","1,3915","1,3520","1,4110","1,3325","","2,88%"
"01.05.2005","1,3645","1,3965","1,3975","1,3355","","-1,94%"
"01.06.2005","1,3305","1,3625","1,3855","1,3295","","-2,49%"
"01.07.2005","1,3259","1,3315","1,3760","1,3190","","-0,35%"
"01.08.2005","1,3450","1,3245","1,3827","1,3095","","1,44%"
"01.09.2005","1,3465","1,3395","1,3595","1,3265","","0,11%"
"01.10.2005","1,3515","1,3540","1,3775","1,3285","","0,37%"
"01.11.2005","1,3565","1,3515","1,3751","1,3445","","0,37%"
"01.12.2005","1,3505","1,3555","1,3634","1,3380","","-0,44%"
"01.01.2006","1,3228","1,3502","1,3563","1,3173","","-2,05%"
"01.02.2006","1,3140","1,3240","1,3425","1,3075","","-0,67%"
"01.03.2006","1,3445","1,3187","1,3675","1,2975","","2,32%"
"01.04.2006","1,3225","1,3440","1,3550","1,3170","","-1,64%"
"01.05.2006","1,5735","1,3205","1,5815","1,3135","","18,98%"
"01.06.2006","1,5825","1,5685","1,7585","1,5055","","0,57%"
"01.07.2006","1,4976","1,5840","1,6160","1,4790","","-5,36%"
"01.08.2006","1,4647","1,4960","1,5150","1,4320","","-2,20%"
"01.09.2006","1,5145","1,4640","1,5505","1,4385","","3,40%"
"01.10.2006","1,4572","1,5108","1,5232","1,4407","","-3,78%"
"01.11.2006","1,4537","1,4543","1,4893","1,4303","","-0,24%"
"01.12.2006","1,4155","1,4505","1,4610","1,4065","","-2,63%"
"01.01.2007","1,4065","1,4153","1,4595","1,4005","","-0,64%"
"01.02.2007","1,4130","1,4070","1,4350","1,3745","","0,46%"
"01.03.2007","1,3920","1,4145","1,4645","1,3770","","-1,49%"
